# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
1.1261261261261262,(0.6991458129365654+0j),(0.3008541870634346+0j),(0.0926555598877787+0j),(0.3818042366208615+0j),-1.1736829191033909e-20j
1.1411411411411412,(0.6966657098611673+0j),(0.3033342901388328+0j),(0.09616257909077387+0j),(0.3880338961810365+0j),3.0191239999052426e-17j
1.1561561561561562,(0.6943145317397312+0j),(0.30568546826026877+0j),(0.09972465109071621+0j),(0.39421445890976703+0j),3.5897630911975083e-17j
1.1711711711711712,(0.6920922538022375+0j),(0.30790774619776257+0j),(0.10334009686881095+0j),(0.40034459383270427+0j),3.3654818678915975e-17j
1.1861861861861862,(0.6899986868355286+0j),(0.3100013131644714+0j),(0.10700718517474318+0j),(0.4064230619688075+0j),3.0185371623621225e-17j
1.2012012012012012,(0.6880334810695453+0j),(0.31196651893045474+0j),(0.11072413520340353+0j),(0.41244871496217045+0j),3.712426563087345e-17j
1.2162162162162162,(0.6861961300280558+0j),(0.3138038699719441+0j),(0.11448911921401024+0j),(0.41842049371029594+0j),6.365320620307196e-17j
1.2312312312312312,(0.6844859717823855+0j),(0.3155140282176142+0j),(0.11830026343713149+0j),(0.4243374279595247+0j),4.4086633097044786e-17j
1.2462462462462462,(0.6829021988109862+0j),(0.3170978011890138+0j),(0.12215565438686618+0j),(0.4301986325731202+0j),6.490331461642154e-17j
1.2612612612612613,(0.6814438618410512+0j),(0.3185561381589487+0j),(0.126053341287567+0j),(0.43600330607789645+0j),3.714773920747488e-17j
1.2762762762762763,(0.6801098748963517+0j),(0.31989012510364817+0j),(0.12999133920922643+0j),(0.441750728721951+0j),3.712426532039067e-17j
1.2912912912912913,(0.6788990171377426+0j),(0.32110098286225736+0j),(0.13396763028714698+0j),(0.4474402618095161+0j),3.4694469519294837e-17j
1.3063063063063063,(0.6778099401882195+0j),(0.3221900598117805+0j),(0.13798016809666577+0j),(0.45307134479472344+0j),6.242657188289339e-17j
1.3213213213213213,(0.6768411749837419+0j),(0.32315882501625803+0j),(0.14202688169850228+0j),(0.45864349254286324+0j),6.242657188290897e-17j
1.3363363363363363,(0.6759911364193715+0j),(0.3240088635806284+0j),(0.14610567834284088+0j),(0.4641562934585939+0j),6.240309821730358e-17j
1.3513513513513513,(0.6752581276387873+0j),(0.3247418723612126+0j),(0.15021444595327496+0j),(0.4696094077518669+0j),-2.3473607773469626e-20j
1.3663663663663663,(0.6746403427804174+0j),(0.3253596572195825+0j),(0.15435105470218383+0j),(0.47500256632369015+0j),-4.930012599382156e-18j
1.3813813813813813,(0.674135877190722+0j),(0.32586412280927785+0j),(0.1585133627016023+0j),(0.4803355665221289+0j),-2.500216682661474e-18j
1.3963963963963963,(0.6737427315670553+0j),(0.32625726843294456+0j),(0.16269921826135528+0j),(0.4856082704020071+0j),1.9619340885269175e-18j
1.4114114114114114,(0.6734588174329809+0j),(0.3265411825670192+0j),(0.16690646285028224+0j),(0.4908206024113214+0j),8.971248047246998e-18j
1.4264264264264264,(0.6732819592441411+0j),(0.326718040755859+0j),(0.17113293227357151+0j),(0.49597254852060835+0j),6.5179784648911615e-18j
1.4414414414414414,(0.67320990274769+0j),(0.32679009725231+0j),(0.17537646104297697+0j),(0.5010641526187096+0j),2.7287713788184896e-17j
1.4564564564564564,(0.6732403211020235+0j),(0.3267596788979765+0j),(0.17963488554354198+0j),(0.5060955138594476+0j),-2.874182307599682e-18j
1.4714714714714714,(0.6733708198268005+0j),(0.3266291801731997+0j),(0.1839060465506933+0j),(0.5110667844950284+0j),-2.874182306697443e-18j
